UKPRN,HE Provider,1a Biotechnology and Biological Sciences Research Council (BBSRC),1b Medical Research Council (MRC),1c Natural Environment Research Council (NERC),1d Engineering and Physical Sciences Research Council (EPSRC),1e Economic and Social Research Council (ESRC),1f Arts & Humanities Research Council (AHRC),1g Science & Technology Facilities Council (STFC),1h Other,1i Total Research Councils
10007783,The University of Aberdeen,208,1154,65,6,77,0,0,1,1511
10007849,University of Abertay Dundee,0,0,0,0,0,0,0,0,0
10007856,Aberystwyth University,0,0,0,0,0,0,0,0,0
10000163,AECC University College,0,0,0,0,0,0,0,0,0
10000291,Anglia Ruskin University,0,0,0,0,0,0,0,0,0
10007759,Aston University,0,0,0,0,0,0,0,0,0
10007857,Bangor University,0,0,0,0,0,0,0,0,0
10000571,Bath Spa University,0,0,0,0,0,0,0,0,0
10007850,The University of Bath,0,0,0,0,0,0,0,0,0
10007152,University of Bedfordshire,0,0,0,0,0,0,0,0,0
10005343,Queen's University Belfast,693,2903,0,0,1416,0,0,124,5136
10007760,Birkbeck College,0,0,0,0,0,0,0,0,0
10007140,Birmingham City University,0,0,0,0,0,0,0,0,0
10006840,The University of Birmingham,1367,6497,23,70,16,91,0,102,8166
10000712,University College Birmingham,0,0,0,0,0,0,0,0,0
10007811,Bishop Grosseteste University,0,0,0,0,0,0,0,0,0
10006841,The University of Bolton,0,0,0,0,0,0,0,0,0
10000385,The Arts University Bournemouth,0,0,0,0,0,0,0,0,0
10000824,Bournemouth University,0,0,0,0,0,0,0,0,0
10007785,The University of Bradford,0,0,0,0,0,0,0,0,0
10000886,The University of Brighton,174,31,0,12,50,0,0,0,267
10000936,The University College of Osteopathy,0,0,0,0,0,0,0,0,0
10007786,The University of Bristol,540,8716,73,96,835,0,0,32,10292
10000961,Brunel University London,0,0,0,0,0,0,0,0,0
10000975,Buckinghamshire New University,0,0,0,0,0,0,0,0,0
10007787,The University of Buckingham,0,0,0,0,0,0,0,0,0
10007788,The University of Cambridge,1575,47991,57,466,10,49,14,1144,51306
10003324,The Institute of Cancer Research,90,1291,0,175,0,0,0,0,1556
10001143,Canterbury Christ Church University,0,0,0,0,0,0,0,0,0
10007814,Cardiff University,343,7274,0,2,75,0,0,45,7739
10007854,Cardiff Metropolitan University,0,0,0,0,0,0,0,0,0
10007141,The University of Central Lancashire,0,0,0,0,0,0,0,0,0
10007848,University of Chester,0,0,0,0,0,0,0,0,0
10007137,The University of Chichester,0,0,0,0,0,0,0,0,0
10001478,"City, University of London",0,0,0,0,0,0,0,0,0
10001653,Conservatoire for Dance and Drama,0,0,0,0,0,0,0,0,0
10007761,Courtauld Institute of Art,0,0,0,0,0,0,0,0,0
10001726,Coventry University,0,0,0,0,0,0,0,0,0
10007822,Cranfield University,0,0,0,0,0,0,0,0,0
10006427,University for the Creative Arts,0,0,0,0,0,0,0,0,0
10007842,University of Cumbria,0,0,0,0,0,0,0,0,0
10001883,De Montfort University,0,0,0,0,0,0,0,0,0
10007851,University of Derby,0,0,0,0,0,0,0,0,0
10007852,The University of Dundee,230,1161,0,96,0,0,0,37,1524
10007143,University of Durham,0,0,0,0,0,0,0,0,0
10007789,The University of East Anglia,85,562,0,0,20,0,0,0,667
10007144,The University of East London,0,0,0,0,0,0,0,0,0
10007823,Edge Hill University,0,0,0,0,0,0,0,0,0
10007772,Edinburgh Napier University,0,0,0,0,0,0,0,0,0
10007790,The University of Edinburgh,1893,27700,-12,623,290,0,0,68,30562
10007791,The University of Essex,0,0,0,0,0,0,0,0,0
10007792,The University of Exeter,132,1970,169,57,364,32,2,303,3029
