airport_code,airport_name,UK_region
MME,Durham Tees Valley Airport,North East
NCL,Newcastle Airport,North East
BWF,Barrow/Walney Island Airport,North West
CAX,Carlisle Lake District Airport,North West
LPL,Liverpool John Lennon Airport,North West
MAN,Manchester Airport,North West
DSA,Doncaster Sheffield Airport,Yorkshire and The Humber
HUY,Humberside Airport,Yorkshire and The Humber
LBA,Leeds Bradford International Airport,Yorkshire and The Humber
EMA,East Midlands Airport,East Midlands
CVT,Coventry Airport,West Midlands
BHX,Birmingham Airport,West Midlands
CBG,Cambridge International Airport,Eastern
QFO,Duxford Aerodrome,Eastern
LTN,London Luton Airport,Eastern
NWI,Norwich Airport,Eastern
SEN,London Southend Airport,Eastern
STN,London Stansted Airport,Eastern
BQH,London Biggin Hill Airport,London
LHR,London Heathrow Airport,London
LCY,London City Airport,London
LGW,Gatwick Airport,South East
SOU,Southampton Airport,South East
ESH,Shoreham Airport ,South East
QLA,Lasham Airfield,South East
LYX,Lydd Airport,South East
KRH,Redhill Aerodrome,South East
QUG,Chichester/Goodwood Airport,South East
BBS,Blackbushe Airport,South East
GLO,Gloucestershire Airport,South West
EXT,Exeter Airport,South West
BOH,Bournemouth Airport,South West
NQY,Cornwall Airport Newquay,South West
LEQ,Land's End Airport,South West
ISC,St Mary's Airport,South West
BRS,Bristol Airport,South West
HAW,Haverfordwest Aerodrome,Wales
CEG,Chester Hawarden Airport,Wales
VLY,Anglesey Airport,Wales
SWS,Swansea Airport,Wales
CWL,Cardiff Airport,Wales
ABZ,Aberdeen International Airport,Scotland
OBN,Oban Airport,Scotland
BEB,Benbecula Airport,Scotland
BRR,Barra Airport,Scotland
CAL,Campbeltown Airport,Scotland
COL,Coll Airport,Scotland
CSA,Colonsay Airport,Scotland
NRL,North Ronaldsay Airport,Scotland
INV,Inverness Airport,Scotland
SCS,Scatsta Airport,Scotland
DND,Dundee Airport,Scotland
LSI,Sumburgh Airport,Scotland
EOI,Eday Airport,Scotland
EDI,Edinburgh Airport,Scotland
ILY,Islay Airport,Scotland
NDY,Sanday Airport,Scotland
ADX,RAF Leuchars,Scotland
PPW,Papa Westray Airport,Scotland
PIK,Glasgow Prestwick Airport,Scotland
GLA,Glasgow International Airport,Scotland
KOI,Kirkwall Airport,Scotland
PSL,Perth Airport,Scotland
SYY,Stornoway Airport,Scotland
SKL,Broadford Airfield,Scotland
SOY,Stronsay Airport,Scotland
LWK,Tingwall Airport,Scotland
TRE,Tiree Airport,Scotland
WRY,Westray Airport,Scotland
WHS,Whalsay Airport,Scotland
WIC,Wick Airport,Scotland
BFS,Belfast International Airport,Northern Ireland
BHD,George Best Belfast City Airport,Northern Ireland
LDY,City of Derry Airport,Northern Ireland
