slug,year,start,end,attendance,country,region,country_code,organiser,organiser_web_domain,organiser_top_level_web_domain,organiser_normalised_name,organiser_common_name,organiser_country_code,venue,address,longitude,latitude,workshop_type,workshop_subtype,workshop_status,tags,website_url,workshop_domains
2019-08-30-EEA-Manchester,2019.0,2019-08-30,2019-08-30,0,United Kingdom,North West,GB,University of Manchester,manchester.ac.uk,manchester.ac.uk,THE UNIVERSITY OF MANCHESTER,The University of Manchester,GB,Data Wrangling for Economists (EEA Annual Congress),"University of Manchester, University Place, Room 1.219",-2.233884,53.46685,DC,Pilot,,"['DC', 'Pilot']",https://korenmiklos.github.io/2019-08-30-EEA-Manchester/,"['Economics/business', '']"
2016-11-21-leeds,2016.0,2016-11-21,2016-11-22,15,United Kingdom,Yorkshire and The Humber,GB,University of Leeds,leeds.ac.uk,leeds.ac.uk,UNIVERSITY OF LEEDS,University of Leeds,GB,University of Leeds,"IT Services Building, Room 8.03b (IT Meeting Room 1)",-1.554303,53.805657999999994,DC,,,['DC'],https://arcleeds.github.io/2016-11-21-leeds/,
2017-03-07-sheffield-lc,2017.0,2017-03-07,2017-03-23,51,United Kingdom,Yorkshire and The Humber,GB,University of Sheffield,shef.ac.uk,shef.ac.uk,UNIVERSITY OF SHEFFIELD,University of Sheffield,GB,University of Sheffield,"Information Commons, University of Sheffield, Sheffield",-1.484577,53.381786,LC,,,['LC'],https://jezcope.github.io/2017-03-07-sheffield-lc/,
2014-11-24-leeds,2014.0,2014-11-24,2014-11-25,20,United Kingdom,Yorkshire and The Humber,GB,University of Leeds,leeds.ac.uk,leeds.ac.uk,UNIVERSITY OF LEEDS,University of Leeds,GB,NERC / University of Leeds,"Charles Thackrah Building, University of Leeds, Leeds, LS2 9JT",-1.5607,53.806999999999995,SWC,,,['SWC'],https://andreww.github.io/2014-11-24-leeds/,
2018-09-26-UCL_software_carpentry,2018.0,2018-09-26,2018-09-27,21,United Kingdom,London,GB,University College London,ucl.ac.uk,ucl.ac.uk,UNIVERSITY COLLEGE LONDON,University College London,GB,UCL,"Room D3, Physics Building, Gower Street London WC1E 6BT, UCL, London",0.133528483,51.52528389,SWC,,,['SWC'],http://rits.github-pages.ucl.ac.uk/2018-09-26-UCL_software_carpentry/,
2020-02-18-UCL,2020.0,2020-02-18,2020-02-19,25,United Kingdom,London,GB,University College London,ucl.ac.uk,ucl.ac.uk,UNIVERSITY COLLEGE LONDON,University College London,GB,UCL,"G20 Christopher Ingold Public Cluster, Christopher Ingold Building, University College London, 20 Gordon Street, London, WC1H 0AJ",-0.132152,51.525388,SWC,,,['SWC'],http://rits.github-pages.ucl.ac.uk/2020-02-18_UCL_software_carpentry/,
2014-07-10-Nottingham,2014.0,2014-07-10,2014-07-11,25,United Kingdom,East Midlands,GB,University of Nottingham,nottingham.ac.uk,nottingham.ac.uk,"UNIVERSITY OF NOTTINGHAM, THE",University of Nottingham,GB,University of Nottingham,"University Park, NG7 2RD, Nottingham",-1.195158,52.938635999999995,SWC,,,['SWC'],https://DevasenaInupakutika.github.io/2014-07-10-Nottingham/,
2015-11-09-cul,2015.0,2015-11-09,2015-11-30,59,United Kingdom,London,GB,"City, University of London",city.ac.uk,city.ac.uk,THE CITY UNIVERSITY,The City University,GB,,,-0.1015937,51.5280395,LC,,,['LC'],,
2020-12-01-edinburgh-bio-online,2020.0,2020-12-01,2020-12-15,0,United Kingdom,Scotland,GB,University of Edinburgh,ed.ac.uk,ed.ac.uk,UNIVERSITY OF EDINBURGH,University of Edinburgh,GB,University of Edinburgh (online),https://ed-ac-uk.zoom.us/j/88226821952,-3.187239,55.947458999999995,,Circuits,,"['online', 'Circuits']",https://edcarp.github.io/2020-12-01-edinburgh-bio-online/,
2019-04-16-BRU,2019.0,2019-04-16,2019-07-17,0,Belgium,Eastern,BE,ELIXIR-UK,elixir-uk.org,elixir-uk.org,ELIXIR UK,ELIXIR UK,GB,ELIXIR-Belgium Brussels,"U-residence Free University of Brussels, Generaal Jacqueslaan 271, 1050 Brussels",4.394176,50.824343,SWC,,,['SWC'],https://elixir-belgium.github.io/2019-04-16-BRU/,
2020-06-04-sfc-online,2020.0,2020-06-04,2020-06-05,0,United Kingdom,Scotland,GB,University of Edinburgh,ed.ac.uk,ed.ac.uk,UNIVERSITY OF EDINBURGH,University of Edinburgh,GB,ONLINE,ONLINE,-3.187347,55.945358,DC,,,"['DC', 'online']",https://edcarp.github.io/2020-06-04-sfc-online/,
2018-09-11-edinburgh,2018.0,2018-09-11,2018-09-12,36,United Kingdom,Scotland,GB,University of Edinburgh,ed.ac.uk,ed.ac.uk,UNIVERSITY OF EDINBURGH,University of Edinburgh,GB,The University of Edinburgh,"James Clerk Maxwell Building, Peter Guthrie Tait Road, Edinburgh",-3.173591,55.921711,SWC,,,['SWC'],https://edcarp.github.io/2018-09-11-edinburgh/,
2021-07-25-sanger-online-2,2021.0,2021-07-25,2021-07-26,0,United Kingdom,Eastern,GB,Wellcome Trust Sanger Institute,sanger.ac.uk,sanger.ac.uk,WELLCOME TRUST SANGER INSTITUTE,Wellcome Trust Sanger Institute,GB,Online,Wellcome Sanger Institute,0.1855874,52.0797171,DC,,,"['automated-email', 'DC', 'online']",,
2021-03-01-earlham,2021.0,2021-03-01,2021-03-04,0,United Kingdom,Eastern,GB,Earlham Institute,earlham.ac.uk,earlham.ac.uk,EARLHAM INSTITUTE,Earlham Institute,GB,Earlham Institute (online),online,1.2189869,52.621740700000004,DC,,,"['automated-email', 'DC', 'online']",https://tgac.github.io/2021-03-01-earlham/,
2018-11-07-Imperial,2018.0,2018-11-07,2018-11-08,26,United Kingdom,London,GB,Imperial College London,imperial.ac.uk,imperial.ac.uk,"IMPERIAL COLLEGE OF SCIENCE, TECHNOLOGY AND MEDICINE","Imperial College of Science, Technology and Medicine",GB,Imperial College London,"CDT space, Central Library level 4, access from the 2nd floor of Sherfield building (SW corner, towards the Great Hall, follow the signs to Software Carpentry), South Kensington Campus, Imperial College London, SW7 2AZ",-0.174877,51.4988,SWC,,,['SWC'],https://kmichali.github.io/2018-11-07-Imperial/,
2019-01-07-bham,2019.0,2019-01-07,2019-01-08,21,United Kingdom,West Midlands,GB,University of Birmingham,birmingham.ac.uk,birmingham.ac.uk,UNIVERSITY OF BIRMINGHAM,University of Birmingham,GB,University of Birmingham,Muirhead - 118,-1.9293220000000002,52.451703,SWC,,,['SWC'],https://bham-carpentries.github.io/2019-01-07-bham,
2016-11-24-ttt-metoffice,2016.0,2016-11-24,2016-11-25,17,United Kingdom,South West,GB,UK Met Office,metoffice.gov.uk,metoffice.gov.uk,MET OFFICE,Met Office,GB,Met Office College,"Met Office, Exeter, EX1 3PB",-3.475646,50.727622,TTT,,,['TTT'],https://steve-crouch.github.io/2016-11-24-ttt-metoffice/,
2018-01-09-oxford,2018.0,2018-01-09,2018-01-10,12,United Kingdom,South East,GB,School of Anthropology and Museum Ethnography,anthro.ox.ac.uk,ox.ac.uk,UNIVERSITY OF OXFORD,University of Oxford,GB,University of Oxford,"1st floor Seminar Room, Ioannou Centre for Classical and Byzantine Studies, 66 St Giles', Oxford OX1 3LU",-1.260276,51.756858,SWC,,,['SWC'],https://rroxford.github.io/2018-01-09-oxford/,
2021-04-26-swansea-online,2021.0,2021-04-26,2021-04-30,0,United Kingdom,Wales,GB,Swansea University,swansea.ac.uk,swansea.ac.uk,SWANSEA UNIVERSITY,Swansea University,GB,Swansea University (online),online,-3.95,51.6,SWC,,,"['online', 'automated-email', 'SWC']",https://sa2c.github.io/2021-04-26-swansea-online,
2014-02-03-TGAC,2014.0,2014-02-03,2014-02-04,24,United Kingdom,East Midlands,GB,The Genome Analysis Centre,tgac.ac.uk,tgac.ac.uk,THE GENOME ANALYSIS CENTRE,TGAC,GB,Earlham Institute,"Norwich Research Park, Norwich",-1.240993,52.62176289999999,SWC,,,['SWC'],https://apawlik.github.io/2014-02-03-TGAC/,
2019-03-26-WIMM-Python,2019.0,2019-05-14,2019-06-04,12,United Kingdom,South East,GB,University of Oxford,ox.ac.uk,ox.ac.uk,UNIVERSITY OF OXFORD,University of Oxford,GB,MRC Weatherall Institute of Molecular Medicine,"Conference Room, WIMM, JR Hospital, Oxford",-1.216999,51.76337,SWC,,,['SWC'],https://rbeagrie.github.io/2019-03-26-WIMM-Python/,
2015-10-29-Leeds-DC,2015.0,2015-10-29,2015-10-30,39,United Kingdom,Yorkshire and The Humber,GB,University of Leeds,leeds.ac.uk,leeds.ac.uk,UNIVERSITY OF LEEDS,University of Leeds,GB,University of Leeds,TBC,-1.555022,53.806484999999995,DC,,,['DC'],https://hpcarcher.github.io/2015-10-29-Leeds-DC/,
2018-07-03-manchester,2018.0,2018-07-03,2018-07-04,17,United Kingdom,North West,GB,University of Manchester,manchester.ac.uk,manchester.ac.uk,THE UNIVERSITY OF MANCHESTER,The University of Manchester,GB,Software Carpentry workshop - University Of Manchester,"Room 3.214, Univeristy Place, Wilmslow Road, Manchester",-2.233305,53.466944999999996,SWC,,,['SWC'],https://uomresearchit.github.io/2018-07-03-manchester/,
2020-10-26-NCL-SWC-ONLINE,2020.0,2020-10-26,2020-10-30,0,United Kingdom,North East,GB,Newcastle University,ncl.ac.uk,ncl.ac.uk,NEWCASTLE UNIVERSITY,University of Newcastle Upon Tyne,GB,ONLINE (online),online,-1.6157270000000001,54.980327,SWC,,,"['SWC', 'online']",https://nclrse-training.github.io/2020-10-26_NCL_SWC_ONLINE/,
2019-01-15-CRUK-Cambridge-DCinR,2019.0,2019-01-15,2019-01-16,18,United Kingdom,Eastern,GB,University of Cambridge,cam.ac.uk,cam.ac.uk,UNIVERSITY OF CAMBRIDGE,University of Cambridge,GB,School of Clinical Medicine,"E-Learning3, Level 2, School of Clinical Medicine, Cambridge Biomedical Campus, Cambridge CB2 0SP",0.1374,52.1869,DC,,,['DC'],https://bioinformatics-core-shared-training.github.io/2019-01-15-CRUK-Cambridge-DCinR/,
2017-06-21-Crick,2017.0,2017-06-21,2017-06-22,20,United Kingdom,London,GB,The Francis Crick Institute,crick.ac.uk,crick.ac.uk,THE FRANCIS CRICK INSTITUTE,Francis Crick Institute,GB,The Francis Crick Institute,"The Francis Crick Institute, 1 Midland Road, London NW1 1AT",-0.1304385,51.5318302,DC,,,['DC'],https://lgatto.github.io/2017-06-21-Crick/,
2018-05-08-Aberystwyth_python,2018.0,2018-05-08,2018-05-15,15,United Kingdom,Wales,GB,University of Aberystwyth,aber.ac.uk,aber.ac.uk,PRIFYSGOL ABERYSTWYTH,Prifysgol Aberystwyth,GB,Plotting and Programming in Python - Aberystwyth University,"Room 3.03, Physical Sciences Building, Aberystwyth University, Penglais, SY23 3BZ",-4.0659,52.4159,SWC,,,['SWC'],https://scw-aberystwyth.github.io/2018-05-08-Aberystwyth_python/,
2012-10-30-oxford,2012.0,2012-10-30,2012-10-31,19,United Kingdom,South East,GB,University of Oxford,ox.ac.uk,ox.ac.uk,UNIVERSITY OF OXFORD,University of Oxford,GB,University of Oxford,New Biochemistry,-1.2569052,51.7571373,SWC,,,['SWC'],https://swcarpentry.github.io/2012-10-30-oxford/,
2016-11-01-southampton,2016.0,2016-11-01,2016-11-02,21,United Kingdom,South East,GB,University of Southampton,southampton.ac.uk,southampton.ac.uk,THE UNIVERSITY OF SOUTHAMPTON,The University of Southampton,GB,University of Southampton,"Highfield House Hotel, 119 Highfield Lane",-1.395988,50.9275813,SWC,,,['SWC'],https://southampton-rsg.github.io/2016-11-01-southampton/,
2019-10-29-cardiff,2019.0,2019-10-29,2019-10-30,0,United Kingdom,Wales,GB,ARCHER,archer.ac.uk,archer.ac.uk,,,GB,ARCHER-SSI Data Carpentry at Cardiff University,"Training Room 2, Julian Hodge Building, Colum Drive, Cardiff, CF10 3EU",-3.1854299999999998,51.49191,DC,,,['DC'],https://hpcarcher.github.io/2019-10-29-cardiff/,
2013-09-12-bristol,2013.0,2013-09-12,2013-09-13,27,United Kingdom,South West,GB,University of Bristol,bristol.ac.uk,bristol.ac.uk,UNIVERSITY OF BRISTOL,University of Bristol,GB,University of Bristol, ,-2.601474,51.457971,SWC,,,['SWC'],https://swcarpentry.github.io/2013-09-12-bristol/,
2020-11-02-cardiff-online,2020.0,2020-11-02,2020-11-05,0,United Kingdom,Scotland,GB,Edinburgh Parallel Computing Centre,epcc.ed.ac.uk,ed.ac.uk,UNIVERSITY OF EDINBURGH,University of Edinburgh,GB,EPCC and Cardiff University (online),online,-3.188111,55.948003,,Circuits,,"['online', 'Circuits']",https://archer2-hpc.github.io/2020-11-02-cardiff-online/,
2020-10-19-ukaea-swcarpentry,2020.0,2020-10-19,2020-10-23,0,United Kingdom,South East,GB,"Culham Centre for Fusion Energy, UK Atomic Energy Authority",ccfe.ukaea.uk,ukaea.uk,UK ATOMIC ENERGY AUTHORITY,UK Atomic Energy Authority,GB,UK Atomic Energy Authority,Online (Teams),-1.2305024,51.6588505,SWC,,,"['SWC', 'online']",https://ukaea-rse-training.github.io/2020-10-19-ukaea-swcarpentry/,
2018-11-13-shell,2018.0,2018-11-13,2018-11-13,19,United Kingdom,Eastern,GB,University of Cambridge,cam.ac.uk,cam.ac.uk,UNIVERSITY OF CAMBRIDGE,University of Cambridge,GB,CRUK Cambridge Institute,Room 009,0.135569,52.176783,DC,,,['DC'],https://bioinformatics-core-shared-training.github.io/2018-11-13-shell/,
2021-02-08-NCL-ONLINE,2021.0,2021-02-08,2021-02-24,0,United Kingdom,North East,GB,Newcastle University,ncl.ac.uk,ncl.ac.uk,NEWCASTLE UNIVERSITY,University of Newcastle Upon Tyne,GB,Newcastle University,Zoom,-1.6157270000000001,54.980327,SWC,,,"['online', 'SWC']",https://nclrse-training.github.io/2021-02-08-NCL-ONLINE/,
2017-01-26-imperial,2017.0,2017-01-26,2017-01-27,15,United Kingdom,London,GB,Imperial College London,imperial.ac.uk,imperial.ac.uk,"IMPERIAL COLLEGE OF SCIENCE, TECHNOLOGY AND MEDICINE","Imperial College of Science, Technology and Medicine",GB,Imperial College London,"ICT Training Room, 204 Central Library Sherfield Building, Exhibition Road, South Kensington, London, SW7 2AZ",-0.174877,51.4988,SWC,,,['SWC'],https://rbeagrie.github.io/2017-01-26-imperial/,
